Prediction_type,Result_type,Model_name,Neg Root Mean Squared Error - avg,Root Mean Squared Error - std dev
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,LR-MOR,-16.7296875,1.6711125597936245
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,LR-RC,-16.346209472267244,1.8837065130253865
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,SGDR-MOR,-2202934195732892.8,1162235796880360.2
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,SGDR-RC,-inf,nan
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,lSVR-MOR,-17.952041968691084,1.3037791499880655
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,lSVR-RC,-17.266879691586112,1.754672784318916
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,DTR,-16.113027962748276,1.5205675887977386
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,KNR,-19.771875,2.391076346282151
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,LDA-MOR,nan,nan
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,LDA-RC,nan,nan
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,NB-MOR,-17.4671875,1.6798321158675351
